name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns,percentile_ns,truncated_mean_ns
fo::ServerEngine::GetCompletedServerJobsCount,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Server.cpp,1012,64568,0.000604,641,100,10,13261,609.067638,110,63
fo::ServerConnection::OutBufAccessor::~OutBufAccessor,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\ServerConnection.cpp,61,7858,0.000073,24,327,38,1970,34004.957227,637,238
OnPlayerLogin,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\Entity.h,307,210,0.000002,1,210,210,210,0.000000,210,210
fo::NetBuffer::SetEncryptKey,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\NetBuffer.cpp,60,2770,0.000026,2,1385,1340,1430,63.639610,1426,1340
fo::Entity::StoreData,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\Entity.cpp,283,1980,0.000019,8,247,20,1390,3047.364013,963,84
fo::Properties::RepackOverlayData,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\Properties.cpp,412,7750,0.000072,6,1291,100,4150,1644.936838,3710,720
fo::Properties::StoreData,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\Properties.cpp,988,11940,0.000112,8,1492,110,6570,2140.899410,4939,767
fo::EntityManager::GetItem,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\EntityManager.cpp,333,360,0.000003,1,360,360,360,0.000000,360,360
fo::RawDataToValueAt,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\PropertiesSerializator.cpp,1107,460,0.000004,2,230,220,240,2266.120032,239,220
fo::NetOutBuffer::WriteHashedString,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\NetBuffer.cpp,259,191,0.000002,6,31,11,60,121.544231,58,26
fo::Critter::AttachPlayer,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Critter.cpp,381,1830,0.000017,1,1830,1830,1830,0.000000,1830,1830
fo::SyncContext::EnsureFreshEntitySynced,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\EntitySync.cpp,1120,2170,0.000020,6,361,40,1080,3212.727377,968,218
fo::SyncContext::ReleaseSingletonLocks,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\EntitySync.cpp,1376,117068,0.001095,1978,59,1,14070,419.454674,120,34
fo::Critter::Send_TimeSync,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Critter.cpp,1478,1630,0.000015,2,815,50,1580,38926.054270,1504,50
fo::DataBaseImpl::GetCollectionKeyType,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\DataBase.cpp,332,2020,0.000019,8,252,90,520,165.767479,495,214
fo::MapManager::GetStaticMap,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\MapManager.cpp,310,410,0.000004,1,410,410,410,0.000000,410,410
fo::ServerEngine::SyncPoint,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Server.cpp,1306,139420,0.001304,641,217,70,740,103.695535,430,202
fo::NetBuffer::ResetBuf,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\NetBuffer.cpp,101,440,0.000004,7,62,40,100,26.293218,100,62
fo::SyncContext::SyncContext,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\EntitySync.cpp,668,115634,0.001081,1985,58,1,14441,445.215577,100,37
fo::Location::GetMapIndex,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Location.cpp,163,130,0.000001,1,130,130,130,0.000000,130,130
Server_Map_AddItem,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Build\windows\GeneratedSource\MetadataRegistration-Server.gen.cpp,3927,2760,0.000026,1,2760,2760,2760,0.000000,2760,2760
OnLocationInit,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\Entity.h,307,160,0.000001,1,160,160,160,0.000000,160,160
fo::BaseEngine::SendRemoteCall,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\EngineBase.cpp,1241,270,0.000003,1,270,270,270,0.000000,270,270
